Number	Core	Pan
4	12611	35377
4	14629	35082
4	12037	35272
4	13968	35269
4	14811	34941
4	13033	34370
4	11640	36064
4	13466	36049
4	14259	35690
4	12721	35195
4	11527	35197
4	11864	35654
4	10728	35023
4	13764	35603
4	12361	35143
4	12979	34906
4	13043	37406
4	14358	36934
4	15153	36645
4	14577	36626
4	12022	37043
4	13755	36966
4	14529	36633
4	12763	36318
4	12550	37601
4	12767	38060
4	12544	37472
4	10553	37784
4	11940	37686
4	12652	37279
4	11048	37142
4	14050	37626
4	13875	36964
4	11619	37282
4	13232	37218
4	14141	36331
4	12209	36736
4	14326	37172
4	11779	37741
4	13467	37690
4	14224	37344
4	12505	36953
4	11647	37118
4	13304	37061
4	14097	36691
4	12424	36349
4	11466	36633
4	11696	37033
4	10483	36524
4	13435	36954
4	11994	36611
4	12578	36412
4	13848	35501
4	14319	35689
4	13657	35745
4	11527	35508
4	13173	35474
4	13924	35073
4	12067	35050
4	15655	35213
4	15092	35223
4	12632	35012
4	14521	35013
4	15514	34093
4	13295	34602
4	15720	35021
4	12930	35132
4	14906	35121
4	15755	34809
4	13660	34441
4	12501	35232
4	14406	35213
4	15242	34866
4	13373	34555
4	12438	34183
4	12681	34667
4	11309	34241
4	14674	34641
4	13026	34368
4	13630	34165
4	13517	36604
4	13275	35970
4	11268	35629
4	12847	35619
4	13741	34666
4	11705	35295
4	13370	36590
4	11232	36618
4	12852	36585
4	13593	36194
4	11806	36063
4	11061	36059
4	12605	36032
4	13334	35587
4	11662	35488
4	11063	34935
4	11271	35263
4	9989	35062
4	12935	35216
4	11404	35177
4	11929	34851
4	14788	36106
4	12359	36158
4	14204	36149
4	15166	35243
4	13021	35664
4	12171	35482
4	13947	35484
4	14935	34573
4	12871	34987
4	12121	34439
4	12487	34252
4	10964	34575
4	14388	34266
4	12551	34703
4	13249	33898
4	12247	36126
4	14114	36113
4	14928	35748
4	13119	35385
4	12145	35383
4	12394	35822
4	11059	35310
4	14337	35788
4	12748	35449
4	13332	35247
4	11934	34769
4	12246	35190
4	10956	34693
4	14121	35159
4	12590	34828
4	13200	34611
4	12150	34096
4	10851	33599
4	11156	34192
4	12867	34311
4	13729	35784
4	13141	38160
4	14304	36242
4	12659	37042
4	13518	37152
4	14367	35812
4	13642	36747
4	11368	36751
4	13144	36763
4	13769	36478
4	12361	35777
4	13395	36939
4	14788	34266
4	12873	35834
4	13752	35623
4	14899	33671
4	13884	35257
4	11492	35236
4	13251	35315
4	14022	34969
4	12517	34103
4	14021	37313
4	12286	38301
4	13217	38091
4	14090	36789
4	13533	37548
4	11174	37910
4	12746	37942
4	13445	37605
4	11984	36929
4	13625	36199
4	14562	36006
4	15488	34320
4	14602	35708
4	12139	35618
4	13970	35674
4	14759	35364
4	12961	34721
4	12972	36918
4	13523	35854
4	12876	36767
4	10852	36645
4	12380	36705
4	13070	36295
4	11447	35891
4	14452	35646
4	13937	36548
4	11712	36425
4	13403	36486
4	14279	35525
4	12422	35712
4	14585	35240
4	12020	35252
4	13844	35334
4	14610	35004
4	12846	34261
4	11659	36302
4	13383	36366
4	14120	35988
4	12578	35353
4	11570	35449
4	11816	35897
4	10596	35102
4	13604	35935
4	12193	35318
4	12761	35071
4	13490	36907
4	14858	34096
4	12818	35813
4	13873	35520
4	14983	33550
4	13988	35091
4	11561	35085
4	13474	35127
4	14200	34797
4	12804	33929
4	14105	37300
4	12190	38394
4	13313	38134
4	14180	36819
4	13621	37539
4	11256	37925
4	12966	37952
4	13614	37561
4	12285	36911
4	13484	36174
4	14658	35898
4	15528	34211
4	14683	35536
4	12217	35484
4	14161	35508
4	14934	35194
4	13231	34566
4	12915	36974
4	13422	35883
4	12794	36746
4	10805	36633
4	12416	36696
4	13068	36242
4	11563	35871
4	14563	35605
4	13995	36454
4	11766	36353
4	13582	36374
4	14448	35435
4	12664	35624
4	14687	35100
4	12077	35178
4	14068	35217
4	14787	34894
4	13159	34143
4	11699	36136
4	13574	36216
4	14284	35816
4	12845	35170
4	11704	35285
4	11896	35723
4	10811	34932
4	13823	35753
4	12446	35136
4	13044	34899
4	14754	34900
4	12473	36917
4	13723	36252
4	14890	34255
4	14071	35643
4	11486	36061
4	13210	36137
4	14028	35726
4	12574	34897
4	14002	33813
4	15250	33053
4	16756	30510
4	15330	32716
4	12566	32584
4	14577	32718
4	15493	32326
4	13644	31426
4	13187	35056
4	13946	33370
4	13090	34946
4	10938	34777
4	12567	34903
4	13354	34337
4	11768	33872
4	15138	32612
4	14443	34197
4	12014	34039
4	13860	34149
4	14869	33037
4	12959	33177
4	15354	32115
4	12439	32098
4	14468	32276
4	15373	31886
4	13575	30824
4	11972	33861
4	13867	34017
4	14697	33561
4	13154	32738
4	11841	32923
4	12151	33442
4	11026	32416
4	14106	33542
4	12709	32722
4	13345	32419
4	13223	37225
4	14588	36530
4	15646	34850
4	14872	36023
4	12204	36359
4	13953	36421
4	14793	36038
4	13013	35425
4	12606	37853
4	13139	36825
4	12677	37515
4	10605	37827
4	12013	37850
4	12740	37348
4	11210	37008
4	14469	36133
4	14057	36838
4	11687	37145
4	13320	37204
4	14298	36152
4	12419	36407
4	14919	35486
4	12093	35942
4	13856	36035
4	14668	35644
4	12925	34905
4	11781	36775
4	13486	36850
4	14306	36403
4	12715	35785
4	11552	36327
4	11813	36741
4	10643	35944
4	13567	36793
4	12195	36166
4	12818	35890
4	14009	35338
4	14692	33946
4	13861	35293
4	11613	35097
4	13291	35179
4	14095	34668
4	12240	34413
4	16052	33175
4	15346	34541
4	12748	34347
4	14680	34454
4	15724	33410
4	13516	33710
4	16190	32777
4	13191	32709
4	15235	32855
4	16175	32485
4	14015	31709
4	12687	34243
4	14629	34373
4	15516	33948
4	13646	33343
4	12550	33267
4	12826	33786
4	11478	32990
4	14852	33879
4	13238	33256
4	13870	33010
4	13865	35134
4	13329	36052
4	11250	35775
4	12851	35879
4	13733	34769
4	11819	35261
4	13753	34954
4	11472	34850
4	13138	34983
4	13956	34452
4	12097	34103
4	11113	35883
4	12698	35988
4	13430	35417
4	11844	35120
4	11036	34937
4	11298	35183
4	10097	34738
4	12969	35268
4	11526	35008
4	12067	34555
4	15222	34201
4	12607	34120
4	14525	34251
4	15603	33150
4	13360	33411
4	12234	35124
4	14064	35246
4	15068	34180
4	13081	34437
4	12112	34209
4	12531	33925
4	11086	34039
4	14459	34052
4	12708	34302
4	13441	33335
4	12558	33886
4	14505	34043
4	15373	33591
4	13548	32889
4	12441	33023
4	12666	33548
4	11327	32634
4	14679	33660
4	13075	32960
4	13702	32694
4	12037	34204
4	12347	34629
4	11113	33848
4	14266	34731
4	12801	34136
4	13443	33806
4	12197	33677
4	10977	32852
4	11312	33429
4	13045	33699
4	12224	38054
4	13443	35966
4	11847	36642
4	12638	36780
4	13403	35829
4	12733	36513
4	10642	36353
4	12341	36387
4	12962	36059
4	11761	35197
4	12846	38014
4	11579	38046
4	12384	38082
4	12794	38124
4	12639	37637
4	10531	37821
4	12107	37875
4	12625	37500
4	11402	36839
4	12531	36669
4	13409	36772
4	13969	36240
4	13415	36526
4	11268	36354
4	13052	36360
4	13661	36086
4	12180	35483
4	12286	36543
4	12359	37048
4	12121	36536
4	10340	36112
4	11871	36168
4	12419	35812
4	10956	35326
4	13217	37144
4	13022	36587
4	11054	36248
4	12718	36229
